comment;score negative;score neutral;score positive;score compound
You really surpassed yourself with the lyrics this time, Josh! This is straight up poetry! It hurts but in all the right places! I am always so happy when you release something new, and I also wasn't dissapointed this time! I wish you all the best and those 3 songs are going to be played on repeat for me, just like your other music!;0.024;0.679;0.297;0.9773
I admire how he could sing all of these things and in an absolutely beautiful way. He inspires me a lot to speak my feelings singing too and apart from the drama the songs are so good and real. Thanks for the healing music  it’s AMAZING how related I can feel sometimes to songs :);0.0;0.663;0.337;0.976
Josh... Crisis, Secret and Set me Free are amazing!!!! Glad you released these, going to keep them on repeat for the next year, like I did with your other EP! (Like Lie lie lie, that I played over 200 times and was my fave song of the year on wrapped hehe). Great things are coming your way, you are amazing and we all have your back! LY Josh!;0.043;0.601;0.356;0.9829
I really appreciate this song and if he’s really donating the money to mental health then I appreciate that much more. Beautiful job my dude ;0.0;0.69;0.31;0.8716
been waiting for this for a while now. go off king. not even making it subtle, being straightforward, being able to make the music he wants to make without being afraid. been with this man since day one and i couldn't be prouder. so so so proud of you josh;0.048;0.868;0.084;0.4662
This song just has one of the most powerful meltal therapy lyrics contemporary society needs️;0.0;0.819;0.181;0.4754
"To anyone who has suicidal thoughts this year,
thank you from the bottom of my heart for sticking around. I know things have been hard.
They may be still hard. But I'm so proud of you and I'm so glad you're still here";0.091;0.64;0.269;0.9183
I love this song sm,and one thing fans should realize is that there's two sides to a story and its not okay to hurt someone to comfort another.;0.047;0.683;0.27;0.8321
Truly incredible. His songwritting always blows my mind! Also...his outfit? Fire ;0.164;0.617;0.219;0.2003
"I mean… I dont even choosing sides but rather only sit here and think “Wow, we got amazing songs out of all the sides!”

Like the entire Sour, this triology and Skin! All of them turned this into literal art!";0.0;0.803;0.197;0.8841
He’s so amazing  the lyrics and his voice are just beautiful;0.0;0.53;0.47;0.8399
So proud of you joshy! Keep doing what you love! all three of them will be hits.;0.0;0.647;0.353;0.8472
I hope this song gets as big as Driver's License. These lyrics hit deep because it's coming from the heart.;0.0;0.717;0.283;0.7964
Not only the lyrics but also the melody can express his feelings so well.;0.0;0.783;0.217;0.5591
This song should go biggggg just like driver's license. olivia told her story, now it's time people know his too ...;0.0;0.889;0.111;0.3612
"One word: MASTERPIECE
The melody is so catchy  it will be in my head for weeks!";0.0;0.745;0.255;0.729
I’ve never more proud of an artist. The brightest and most caring and loving human being on this planet is you josh. You are so so loved.;0.066;0.527;0.407;0.9453
"This song truly touched my heart.. ️️
This song has a deep meaning..  
 Thankyou so much Joshua for making crisis/secret/set me free  ️️ the lyrics are so true and genuine..
You're so talented love you soo much  ";0.0;0.577;0.423;0.9743
He's voice it's so soothing, well done Joshua this is gooooood;0.0;0.626;0.374;0.6564
I will always adore how Josh tells a story in his songs like no one else ;0.103;0.61;0.286;0.5994
And just like that,il be coming here every day to listen to  this beautiful masterpiece ;0.0;0.517;0.483;0.9047
oh my god, he delivered everything. so please let him live his life well. he's already suffered too much too.;0.121;0.606;0.272;0.4572
This song is amazing and Joshua Basset is my idol and I can’t wait to see what he does next.;0.0;0.833;0.167;0.5859
We love artist who sing their truth.;0.0;0.435;0.565;0.7579
Just here to spread a little more positivity and say that this is a great song.;0.0;0.654;0.346;0.8134
JOSH'S LYRICS ALWAYSSSSSS HAVE TRUTH TO THEM.;0.0;0.723;0.277;0.3182
joshyyyyyy- i’m so ready, so proud of you. wish you knew how much you’re loved and cared for, you deserve nothing but the best. i’ll love this man forever and always. he’s so great:( husband 4 life<3;0.079;0.503;0.418;0.9617
I already see the similarities to ‘Lie, Lie, Lie’. Same backdrop and aesthetic. Love him. ;0.0;0.769;0.231;0.6369
can we all just try to enjoy the song for one sec and stop being so serious about all the drama related. because i HATE it . he's very talented, his music's are great and that is what matter.;0.158;0.613;0.23;0.5813
How is his voice so wholesome no matter what he’s singing about??? I love him so much;0.063;0.656;0.282;0.6889
This song hit me like a bus, bravo.;0.0;0.737;0.263;0.3612
i’m so happy to be alive while this iconic music is being put into the world;0.0;0.68;0.32;0.7645
"My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, hmm
And, honestly, I didn't wanna write this
Don't know if I can, still holdin' back, still wanna run";0.0;0.753;0.247;0.8963
i’m genuinely impressed by this song & the lyrics;0.0;0.721;0.279;0.4767
Joshua I love you, I love you with all my strength, and every lyric and verse of your songs I am enchanted more and more, and I'm so proud, your words express everything, it makes my eyes shine, you transmit light;0.0;0.664;0.336;0.9595
Incredible song. Deep emotions in the lyrics. Joshua we feel you, we love you, you can pass through this crisis. You deserved a better person than her;0.136;0.667;0.197;0.3016
ITS JOSH’S REPUTATION ERA AND IM SO READY FOR IT;0.0;0.735;0.265;0.5009
It's pretty typical that one person hurts more from a break up than the other. It's brutal. I understand how painful it must have been for Olivia to see Joshua move on to another relationship rather quickly. But she definitely could have and SHOULD have spoken out against her fans who were threatening Joshua's life, as soon as she heard about it. She may have spoken out a bit (I'm unsure) but she had the ability to try to calm her fans down and try to protect his reputation. Seems like more could have been done on Olivia's side. And perhaps Joshua could have waited longer to start seeing someone else - to protect Olivia's feelings.  They produced such emotional and beautiful music from this situation, and there are always lessons to be learned from any situation - so good came from it!  And hopefully others will learn from this too! God bless you all;0.07;0.706;0.223;0.9844
josh is so talented and these lyrics omg. people decided to hate on him without the full story and without hearing it from both sides️ “messing with my life as a career move” DAMNNNN;0.093;0.801;0.106;0.1384
relate to this song:) feels like i dont deserve any sympathy anymore;0.144;0.684;0.171;0.1002
He's simply telling his truth. Remember that there are three sides to a story, his side, her side and the truth.;0.0;0.805;0.195;0.5574
"JOSHY SENT HIS FANS A MESSAGE PLEASE READ :
Evelyn, a special message from Joshua himself: 

hey there!!! ";0.0;0.708;0.292;0.7656
"Regardless of the situation between Joshua & Olivia, he should’ve never gotten death threats. 

It’s a break up, it’s not like he beat her or anything. That was some of the dumbest things the fans from Olivia did. It was never that serious.";0.108;0.758;0.134;0.0747
Josh didn’t deserve anything. I don’t understand how anyone can justify all the pain he went through. I hope these songs help his voice get out there and become as popular if not more than drivers license.️;0.074;0.738;0.188;0.6249
I'm so proud of Josh <3;0.0;0.389;0.611;0.7425
I was so happy when I opened YouTube and saw this!!! It’s going to be amazing ;0.0;0.598;0.402;0.8864
also y’all before the drama ensues (bc i know it will) just remember that we have no idea what went on with josh and livs relationship, everything that has been said has been based off of rumors, so why don’t we all put the hate aside, not choose sides and enjoy the incredible talents that are olivia and josh.;0.088;0.816;0.096;0.1513
I hope this songs blows up just like driver's license did. His side of the story deserves to be heard as well.;0.0;0.717;0.283;0.7579
This song is amazing. I remember when this love triangle made headlines. I was always on Josh’s side. But the fact Olivia never put things to rest at first, just spoke so many truths about who she was. She cared more about keeping the overnight fame and making money. I can only imagine the amount of hatred and death threats Josh and Sabrina faced. I’m glad Josh put these songs out there, they are amazing️;0.149;0.661;0.191;0.2999
so happy he’s telling his side of everything;0.0;0.637;0.363;0.6115
I love Olivia and I don’t think that she is mean and wanted to end with his life, but it’s his feelings and this song is AMAZING.;0.0;0.737;0.263;0.872
The only thing I dont like about Olivia is not addressing the hate sooner, only once it boiled over. Idk but something seems a little off about her. Don't come for me, its an opinion;0.075;0.871;0.054;0.0629
People on Twitter who compare him to John Mayer or Jake Gyllenhaal are sick. Those two old men dated Taylor in their 30's but Josh and Olivia are basically still a kid compared to what happened in Taylor's relationship. If anything, Josh is more like Joe Jonas.;0.042;0.885;0.073;0.3694
I love Olivia but I also love your songs you don’t deserve that hate;0.207;0.45;0.344;0.5187
Writing all those hatred songs but she called it quits first lmao girl;0.137;0.58;0.282;0.5789
Joshua I’m sure you’ll never read this but if you do I really hope you’re OK now;0.0;0.578;0.422;0.8816
"""and honestly I didn't wanna write this"" gives me Justin Bieber vibes.";0.0;0.786;0.214;0.4588
People need to stay out of it Joshua is amazing and so are Sabrina and Olivia;0.0;0.798;0.202;0.5859
the same thing happened with Justin and Selena, and Justin was threatened, TILL today even his wife is being cyberbullied, people really need to grow tf up. anyways I was just here for the shade. Love y'all, stay safe.;0.065;0.781;0.154;0.6249
I feel like he already responded with lie lie lie and that was his version of good for you and this song is his driver's license more remanicent of their relationship and calling out the wrong doing of the other partner.;0.067;0.817;0.116;0.3182
I did support Olivia but after watching this I am on team josh but I will never hate in Olivia because I do love her but for the relationship part I am on team josh but I love them both!;0.0;0.67;0.33;0.9625
"""Half the sh*t youre saying is only half true, Messing with my life as a career move"" oh shiiiii-";0.0;0.865;0.135;0.4215
Tbis just became my favorite joshua basset song and tge way i l9ve common sense is ridiculous it's like my favorite song eva but this does something else to u;0.052;0.776;0.172;0.4588
Do the people in these comments honestly have nothing better to do? Just enjoy the song;0.111;0.602;0.287;0.5851
"I know you have been getting hate so I’m so sorry for that have a great day
PS.Great song btw (Merry Christmas)";0.184;0.574;0.242;0.427
aww he is so sweet as an olivia fan im also kinda in love with this guy to i mean(dont act like i didint love you) like thats sweet;0.0;0.497;0.503;0.9694
love this song, crazy?????;0.251;0.209;0.54;0.5803
i came back to say i still love you.;0.0;0.656;0.344;0.6369
Is it just me or does he not actually move his mouth when he's singing in these videos lmao;0.0;0.822;0.178;0.5994
It also feels like johnny Depp signing the song and don't want to take the name of that woman ;0.059;0.82;0.121;0.3134
beautiful the song;0.0;0.339;0.661;0.5994
It’s seems like he’s not wasting a crisis;0.0;0.383;0.617;0.7936
Happy birthday Josh  ;0.0;0.351;0.649;0.5719
Anyway I love Olivia and josh ;0.0;0.543;0.457;0.6369
I understand what he is going through Olivia’s music is great but she acts like he doesn’t have feelings and that he never loved her i don’t like how Olivia does that to him;0.098;0.693;0.209;0.5901
best boy <3;0.0;0.123;0.877;0.7964
So this changes things for season 3 lmao;0.0;0.642;0.358;0.5994
who broked his heart;0.0;0.417;0.583;0.6369
"Tbh I think he is kinda underrated and what he is going through couse of Olivia and all the hate but both of them are in like a fight
But I don’t know like they are both not bad";0.115;0.68;0.205;0.6731
She never said you didn’t love her but you broke her heart;0.175;0.427;0.398;0.6908
He's so fine;0.0;0.489;0.511;0.2716
emotional crises overhere;0.0;0.556;0.444;0.1531
I know everyone is just talking about the drama and whatever, so this is going to seem extremely random in the mix, but does anyone else think he looks like kurtis in this video;0.0;0.91;0.09;0.5023
Love you;0.0;0.192;0.808;0.6369
I think the song is great and his voice is good but i wish he opened his mouth more to sing the lyrics T_T;0.0;0.723;0.277;0.7935
"anyone notice in the description box one of the creative directors is sarah carpenter? 
(pls no one take this as a piece for drama just an observation)";0.072;0.789;0.138;0.25
Her fame is because of a crisis, no? I mean there are so many unrecognised talented artists out there, even better than her, but not enough opportunity of achieving that fame.;0.137;0.616;0.247;0.5398
onesly she has a broken heart  i dont blame you or her;0.169;0.491;0.34;0.4829
I love u joshua ( As a fan I'm only 10);0.0;0.581;0.419;0.7579
he's so fine;0.0;0.489;0.511;0.2716
Thank you. She’s being overly dramatic;0.0;0.667;0.333;0.3612
not a fan of olivia, sabrina, or joshua (i just realized their names rhyme lol) but i like his songs better tbh;0.052;0.632;0.316;0.8186
Love this song but the boy is barley moving his mouth in this MV;0.0;0.833;0.167;0.3818
How i love you;0.0;0.417;0.583;0.6369
Let’s be honest this wasn’t in your recommendations you searched for it;0.0;0.769;0.231;0.5106
I feel so bad for you I hope you luck;0.258;0.403;0.339;0.105
Happy birthday ;0.0;0.213;0.787;0.5719
Well now we cant say we don’t know both prospectives;0.0;0.811;0.189;0.2732
And he doesn't even like this song. His label forced him to write it, but he said he would only do it if they released set me free and secret, cuz the label didn't like those songs but he did;0.133;0.771;0.095;0.0593
I truly love you;0.0;0.22;0.78;0.7964
"*And don't you ever wonder if I'm ok**

""Good for you, you look happy and healthy, not me, if you ever cared to ask""";0.0;0.623;0.377;0.9022
Happy new year.;0.0;0.351;0.649;0.5719
especially my school friends;0.0;0.471;0.529;0.5209
Do the people in these comments honestly have nothing better to do?;0.156;0.649;0.195;0.1516
Look I love Olivia but if she talks shade abt him,he CAN.;0.0;0.809;0.191;0.3818
Don't you dare think I didn't love you.dont you dare think I didn't hart to . Half the shit your saying is only half true .WOW;0.092;0.599;0.309;0.8387
close your eyes. he sounds like ed sheeran;0.0;0.737;0.263;0.3612
He’s giving some James Arthur vibes. I don’t know why;0.0;0.789;0.211;0.34
Joshua  I really like your jacket;0.0;0.642;0.358;0.4201
I wish his lyrics weren’t so on the nose. It always reads cheesy to me. But I feel what he’s expressing.;0.0;0.915;0.085;0.2144
i am in love with you;0.0;0.543;0.457;0.6369
"Okay so I love this song so much but I bet that you feels so guilty for Olivia's songs but I have something  to point out in her traitor song the lyrics said ""if you where true there no da*n way that you could fall in love that quickly"" I mean he could've  been In Love with her but he did not want to cheat on Olivia and hurt her so I mean I have no idea why she is just like trying to make you the bad guy when really she is not really but little bit the bad guy.";0.185;0.628;0.187;0.1021
Josh, ily.;0.0;0.185;0.815;0.6597
XD  Am i the only one who found the intro funny XDXD;0.0;0.574;0.426;0.8143
Anyone else notice her only he said half the stuff you’re saying isn’t true what does that supposed to mean Joshua do you mean there’s two sides to a story or do you mean you’re trying to tell us something;0.0;0.933;0.067;0.4215
omg he so cute!!!;0.0;0.387;0.613;0.6949
Wait so did joshua and olivia were really a thing back then? because i keep seeing comments like they were not dating and people just make assumptions but the comments in this video made it seems like they were so idk;0.051;0.839;0.11;0.402
Woah is my phone glitching not is there actually no dislikes;0.0;0.816;0.184;0.3089
He’s better than Olivia.;0.0;0.508;0.492;0.4404
"i love Olivia but when i hear ,, But don't you dare act like I didn't love you Don't go thinkin' that I didn't hurt too"" its just.. they were so cute and i want to meet and.. get together";0.083;0.62;0.297;0.8936
Young love;0.0;0.192;0.808;0.6369
"They're aren't sides!!
""I'm an Olivia fan but I like it""
Like its music! Chill out with the ""I'm on his side or her side"" they're aren't sides. There's the truth why isn't anyone trying to find that??";0.0;0.734;0.266;0.9069
I love Olivia and I get she was going through a breakup but girl, way to far;0.0;0.86;0.14;0.3818
Do the people in these comments honestly have nothing better to do?;0.156;0.649;0.195;0.1516
Do the people in these comments honestly have nothing better to do?;0.156;0.649;0.195;0.1516
Do the people in these comments honestly have nothing better to do?;0.156;0.649;0.195;0.1516
Do the people in these comments honestly have nothing better to do?;0.156;0.649;0.195;0.1516
Do the people in these comments honestly have nothing better to do?;0.156;0.649;0.195;0.1516
i love oliva but after this i just cant belive she lied like i still like her voice but like god she is a mean girl;0.0;0.529;0.471;0.9499
Olivia is just mean and she know want going on and she knows that she breaking he’s heart and I love her songs and she just I’m starting to feel bad for him he just needs to speak up on it and make her feel a little like want she did to him Joshua please speak up I’m being please it hurt more if you do not speak about please do speak about it I know how it fells but please;0.065;0.768;0.167;0.7417
Okay this has nothing to do with the vid but did y’all see his pants-;0.0;0.906;0.094;0.1154
Good song and all but I can't get over the fact that he barely opens his mouth the entire video lol;0.0;0.771;0.229;0.6858
I am sitting here idk who I like or support;0.103;0.515;0.382;0.5859
Honestly Olivia should've gone silent ages ago;0.0;0.667;0.333;0.4588
"https://www.youtube.com/watch?v=Rw8eWRv6mDE
number one trending african afrobeat artist of the yeah dropped his official video";0.0;0.774;0.226;0.3612
Does  any one ever wonder about what happend between  olivia rodrigo and him like just think about it ...........;0.0;0.878;0.122;0.3612
Who's telling the truth? Is it olivia or joshua?;0.0;0.75;0.25;0.3939
So a 4th of what she said is true?;0.0;0.741;0.259;0.4215
Its a great song but the music video, the way he is lip syncing, makes him look like he barely knows the words, and it is bugging tf out of me;0.0;0.833;0.167;0.7003
It's cool if u want me to play the bad guy;0.212;0.424;0.364;0.128
Ah yes now everyone will sympathize with him and start hating olivia, y'all are like balls in a tennis court, just always ready to get thrown about;0.097;0.676;0.226;0.5267
I want say the word music video;0.0;0.822;0.178;0.0772
Well we know Olivia can't make happy songs hits so she's the narcissist. Amber Herd energy. We'll find out years from now it was all her.;0.099;0.762;0.139;0.0521
"This is his response to driver's license I like his music but I also like  Olivia Rodrigo see hereAnd it's cool if you want me to play the bad guy 

Don't you dare act like I didn't love you";0.166;0.553;0.281;0.5343
"marry my friend Anna
she gets wet to this song";0.0;0.738;0.262;0.4939
"and honestly i didnt wanna write this
idk if i can 
still holding back
still wanna run";0.077;0.769;0.154;0.3612
"I think Josh's songs are WAY better than Olivia's 
I don't know why do I think like that";0.0;0.748;0.252;0.6597
Guys, people have been sayig when he says half the sh** your sayings only half true means 75% and to that I say please go back to math class, it means 25% lol  how is half of half 75??;0.0;0.813;0.187;0.8053
I didn’t like Olivia’s music, and it gave me Taylor Swift vibes in a bad way. I know she’s a huge Taylor fan so it makes sense. They both give off the “it’s all your fault, I did nothing wrong, and I’m going drag your for it, and complain and make excuses”. I don’t like that. Write how you feel in your music 100%. However if you’re going to use your music to intentionally throw shade at people, and not recognize how it could effect especially if they are not in a position to share their side, you’re problematic. Like actually, not me throwing around a word like 16 year old kid who is offended by everything, I mean actually problematic. Not once has she told her fans to back off, they still have to film a show together. I can’t vibe with that kind of behavior;0.108;0.768;0.124;0.1911
"Great balls of fire cover by Smitty&Sara own no rights to song 
https://youtu.be/A12OIp8vmoA";0.246;0.535;0.219;0.128
We let  you tell your side of the story and when Olivia did it she kept her cool but you on the other hand just am done with you ;0.0;0.819;0.181;0.714
The reason why all the countries in the world cannot united into one country due to people forming their own belief. They always believe their own god is the greatest, their own race is the best, their own language is the best, their friends & family never did bad thing, their leader is the best and cannot be corrupted. Once people own their own belief divide & conquer is done. That is the reason why there were so many counties on earth. ;0.023;0.731;0.246;0.9736
Why would you let Olivia go like that!!! You will he sorry!;0.087;0.668;0.245;0.5216
"You all say there saying has great Olivia’s song was and how you couldn’t believe someone could do this stuff to her. 

Goofy";0.0;0.843;0.157;0.6249
I love this song but how could you do this to olivia;0.0;0.809;0.191;0.3818
When he says only what you say is half true as he says that he puts the blame right back on Olivia. Also what he says is only haft true to;0.067;0.778;0.156;0.4939
"Him saying her side is only half true doesn’t make sense. Like are you saying what she’s saying is half true or is what she saying entirely true and you wanna share your part too? The gaslight in this is cute because he’s saying she tried to leave first and yadda yadda, well duh… you were talking to a whole other girl and it’s evident since they’re dating. His side of the story lacks specific information unlike Olivia’s so it’s really hard to sympathize with him. People saying he won, won what? He’s accusing her of taking advantage of a crisis? Just because he’s late to the party doesn’t mean he’s not hypocritical. Olivia expressed her feelings truly and full of dignity. It’s what made her so popular and lovable. Things that he did to her is super relatable, his song writing skills point out stuff I just rolled my eyes at. That’s just my opinion ;) also remember when in driver license Olivia said Sabrina made her insecure and then Sabrina released her little protest that she’s got the man? LOL hope u keep him";0.058;0.686;0.256;0.9929
Campina Grande Lions Campaign cures incurable diseases, saves lives, new technologies for pretuberance immortality human life with timeline time travel all means infinite possibilities stable mineworks correct if every defect imperfect laws become emphatically infinite all charges known possible matter neutral moderate positive relative or quantic eruption scientific laws perfect treatment of imperfections with joints abnormal conditions for infinite cure leaving congealed normals or stimuli like affect the electric field systems or replace normalities or the growth of new forms of direct or indirect with infinite asymptonic freedom with infinite possibilities infinite lupe continuous with means of beginning principle to solve any laws physics science fiction physical laws or cell clone errors of singularity of some creation to induction physics laws auto regenerate redo rebuild bitegr  adevel synthetics all man-made organic materials or natural or abnormal means that have no human life for there is humanity doing everything agent makes us infinitely controlled infinite point autron in infinite lupe with everything can perform in states complete interactions imbernation we infinitely means abnormals synthesis correction all implementation all acts in Ibernation we can make all new technology sté live eat all with known natural physical laws lead to infinite nondestructive super inconstant laws controlling by liquid or solid gas all physical laws for non-destruction infinite possibilities and loving for infinite self without disorder of the beginning infinite possibilities physics laws with conducting infinite accumulations safe passages means law transforms new physical laws scientific fictional to infinite lives lives constants of our reality or in other ways proposing our lives acts the infinite not destroying loss  non-deaths using laws type that resolve can produce controlled coductivity realitivity at constant level type supernovas gamma rays everything physical to confirm esoecific means formation lives life transformations of our time in life be indestructible using always-on machines using physical law drobras means drobras even rebuilding regeneration taking healing of physical values that infinitely constant degeneration in Agitation meaning disorderly activity uncontrollable all physical laws take your destruction from laws that occur big or small means taking plasmas ifinities all plasmas of the universe for creation that leads to easier life with creation sitetization of all scientific fiction for self-prediction being absolutely we, indestructible living beings, immortal to the laws of time, rekativity or radiation may not destroy by igniting layers of the universe itself, superficial or non-superficial, to contrary to the of its own destruction, ge  nerally with accentuated s ystems that develop from mace black holes segments, which may be light moderate space, large disasters de-delivery of the means of errors with New laws for grounding text in the development of positivism and the discipline of sociology , the work provides a revised and full account of the theory Comte present earlier in hi s natural or unnatural quantum multi-partner correcting problems of all kinds defects problems using space inside wormhole s saving all life in the universe s surpassing physical la ws or not ph ysical laws science fictions save earth planets galacies universes all known or unnatural disasters, new technologies, as well as the use of new techniques, except physical laws like the human race and science fiction allow us to calculate all the known means of theories of physi cal law axes, all at the same time, must use examples quantum strings parallel universes physics fusion nuclear numbers with quantitative subspace more develop m  ent speeds in the middle of the planet.  writing polluting energy eliminating the effect of pollution using elementary means probabilities can solve to cure all diseases of whatever state they occur to cure death regenerating not causing problems human beings physical means scaling everything can save what causes the final planets to emit great material fiction sticker for The establishment of universes we can be the best Gods and God to travel without difficulties in the basic scales of the universe of often low speed can cause chaos in the correct formation in an infinite sense.  Covering everything in time.  Coatings are opposite laws, they don't apply to term conditions, capacity can do everything the laws of physics can do.  Aging can kill all the lives we know, interrupting the natural law of the universe of gaseous magnets that kill the universe of life in honeys, like acids or elements.  Organic Living, Inside If Problems Can Solve Like Attacks Septic Shock Explosions, Planets, Laws Destroy Us, Black Holes, Space Destruction;0.091;0.775;0.134;0.9774
Good song but hasn’t there been like 4 songs him and the other girl have made about this? We get it y’all are young and let the industry blow up the personal situation. One party took advantage in the moment while the other got paid the price. Time to move on and get some new material.;0.0;0.822;0.178;0.882
Umm Olivia writes a song saying hope your okay so yeah  she does wonder that;0.0;0.61;0.39;0.7695
Made my ears bleed, cheers x;0.0;0.617;0.383;0.4767
Olivia won ;0.0;0.213;0.787;0.5719
WHERE IS YOUR GRAMMY??? OMG SO PROUD OF HER. REAL TALENT WINS WOOOHHHHH YOUR clout chaser FAVE COULD/WOULD NEVER ;0.0;0.455;0.545;0.9636
I’m sorry but the actual song is awful and somebody’s gotta be the one to say it. Good for him for saying his truth but the difference between him and Olivia as songwriters is that Drivers license was symbolic and fans were the ones to figure out her reference. Everyone knows immediately what Josh is referencing cause it’s blatant. Also, Olivia’s music is very relatable. Like who is gonna sing this from their own experience with lyrics like “getting a call from my mom about death threats” or talking about his label? That’s not relatable. The concept of each person telling their own story is something very relatable and I believe could have been beautifully done here, but the difference between what Olivia did with her pain and what Josh did with his is Olivia created a beautiful song full of feeling and emotion that lots can relate to but Josh just sung what he wanted to say. Like bro could’ve just tweeted this song. Sure there was vulnerability and it rhymed but if anything this song was for him and that’s fine but if his music was truly good and I’m not even saying better than Olivia’s or anybody else’s, I’m just saying the music would speak for itself.;0.08;0.746;0.174;0.9752
Narcissists like him always try to turn it around to play the victim lol;0.106;0.505;0.389;0.6808
Using mental health as shield i see lmao all olivia says about u in her song is all about how u betrayed her. Do u think her mental health was okay during that period of time where u broke her heart?;0.129;0.682;0.189;0.4939
"No way! Team Olivia Rodrigo 4 life!
OLIVIA 4 LIFE! Olivia has my full support";0.117;0.692;0.19;0.3348
I still love Olivia she is way better and had and has way better music you are so overrated ;0.0;0.615;0.385;0.875
